"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","3","296-38231-1-ND","SN74HC161PWR","IC BINARY COUNTER 4-BIT 16TSSOP","","3","0","0.49000","1.47"
"2","1","296-8314-1-ND","SN74HC374PWR","IC FF D-TYPE SNGL 8BIT 20TSSOP","","1","0","0.49000","0.49"
"3","1","296-8228-1-ND","SN74HC138PWR","IC DECODER/DEMUX 1X3:8 16TSSOP","","1","0","0.39000","0.39"
"4","1","311-240KCRCT-ND","RC0805FR-07240KL","RES 240K OHM 1% 1/8W 0805","","1","0","0.10000","0.10"
"5","3","490-GRM31CR61A107MEA8KCT-ND","GRM31CR61A107MEA8K","CAP CER 100UF 10V X5R 1206","","3","0","0.42000","1.26"
"6","4","732-8026-1-ND","885012207016","CAP CER 0.1UF 10V X7R 0805","","4","0","0.10000","0.40"
"7","1","36-3034-ND","3034","BATT RETAINER COIN 20MM 1CEL SMD","","1","0","0.37000","0.37"
"8","1","ED10529-ND","302-S401","CONN HEADER VERT 40POS 2.54MM","","1","0","0.57000","0.57"
"9","1","74AHC1G32SE-7DICT-ND","74AHC1G32SE-7","IC GATE OR 1CH 2-INP SOT353","","1","0","0.30000","0.30"
"10","1","BAS70DW-05FDICT-ND","BAS70DW-05-7-F","DIODE ARRAY SCHOTTKY 70V SOT363","","1","0","0.37000","0.37"
